table,change,record_id,field_zero_based,type,old_value,new_value
spell.dbc,table_added,,,,,a4461f995967a45f3f8a73ecf576d9534685a3a775b0342828fa5c19fb369a21
spell.dbc,field_changed,56908,131,uint32_raw,12413,20017
spell.dbc,field_changed,58956,131,uint32_raw,12413,20017
spell.dbc,field_changed,71386,131,uint32_raw,14711,20016
spell.dbc,field_changed,74403,131,uint32_raw,12413,20018
spell.dbc,field_changed,74404,131,uint32_raw,12413,20018
spell.dbc,field_changed,74712,131,uint32_raw,13670,20019
spell.dbc,field_changed,74713,131,uint32_raw,15689,20020
spell.dbc,field_changed,74717,131,uint32_raw,13670,20019
spell.dbc,field_changed,74718,131,uint32_raw,13670,20019
spell.dbc,field_changed,75947,131,uint32_raw,13670,20019
spell.dbc,field_changed,75948,131,uint32_raw,13670,20019
spell.dbc,field_changed,75949,131,uint32_raw,13670,20019
spell.dbc,field_changed,75950,131,uint32_raw,13670,20019
spell.dbc,field_changed,75951,131,uint32_raw,13670,20019
spell.dbc,field_changed,75952,131,uint32_raw,13670,20019
spellvisual.dbc,field_changed,12413,1,uint32_raw,4451,90051
spellvisual.dbc,field_changed,14711,1,uint32_raw,12852,90056
spellvisual.dbc,field_changed,15013,1,uint32_raw,0,90057
spellvisual.dbc,field_changed,15013,6,uint32_raw,13868,90058
spellvisual.dbc,field_changed,15711,1,uint32_raw,14512,90052
spellvisual.dbc,record_added,20016,0,uint32_raw,,20016
spellvisual.dbc,record_added,20016,1,uint32_raw,,90055
spellvisual.dbc,record_added,20016,2,uint32_raw,,90059
spellvisual.dbc,record_added,20016,3,uint32_raw,,68
spellvisual.dbc,record_added,20016,4,uint32_raw,,2849
spellvisual.dbc,record_added,20016,5,uint32_raw,,0
spellvisual.dbc,record_added,20016,6,uint32_raw,,0
spellvisual.dbc,record_added,20016,7,uint32_raw,,0
spellvisual.dbc,record_added,20016,8,uint32_raw,,0
spellvisual.dbc,record_added,20016,9,uint32_raw,,0
spellvisual.dbc,record_added,20016,10,uint32_raw,,1
spellvisual.dbc,record_added,20016,11,uint32_raw,,0
spellvisual.dbc,record_added,20016,12,uint32_raw,,0
spellvisual.dbc,record_added,20016,13,uint32_raw,,0
spellvisual.dbc,record_added,20016,14,uint32_raw,,0
spellvisual.dbc,record_added,20016,15,uint32_raw,,0
spellvisual.dbc,record_added,20016,16,uint32_raw,,4294967295
spellvisual.dbc,record_added,20016,17,uint32_raw,,0
spellvisual.dbc,record_added,20016,18,uint32_raw,,0
spellvisual.dbc,record_added,20016,19,uint32_raw,,0
spellvisual.dbc,record_added,20016,20,uint32_raw,,0
spellvisual.dbc,record_added,20016,21,uint32_raw,,0
spellvisual.dbc,record_added,20016,22,uint32_raw,,0
spellvisual.dbc,record_added,20016,23,uint32_raw,,0
spellvisual.dbc,record_added,20016,24,uint32_raw,,0
spellvisual.dbc,record_added,20016,25,uint32_raw,,0
spellvisual.dbc,record_added,20016,26,uint32_raw,,0
spellvisual.dbc,record_added,20016,27,uint32_raw,,0
spellvisual.dbc,record_added,20016,28,uint32_raw,,0
spellvisual.dbc,record_added,20016,29,uint32_raw,,0
spellvisual.dbc,record_added,20016,30,uint32_raw,,0
spellvisual.dbc,record_added,20016,31,uint32_raw,,0
spellvisual.dbc,record_added,20017,0,uint32_raw,,20017
spellvisual.dbc,record_added,20017,1,uint32_raw,,90054
spellvisual.dbc,record_added,20017,2,uint32_raw,,90047
spellvisual.dbc,record_added,20017,3,uint32_raw,,76
spellvisual.dbc,record_added,20017,4,uint32_raw,,235
spellvisual.dbc,record_added,20017,5,uint32_raw,,0
spellvisual.dbc,record_added,20017,6,uint32_raw,,0
spellvisual.dbc,record_added,20017,7,uint32_raw,,0
spellvisual.dbc,record_added,20017,8,uint32_raw,,0
spellvisual.dbc,record_added,20017,9,uint32_raw,,0
spellvisual.dbc,record_added,20017,10,uint32_raw,,1
spellvisual.dbc,record_added,20017,11,uint32_raw,,0
spellvisual.dbc,record_added,20017,12,uint32_raw,,0
spellvisual.dbc,record_added,20017,13,uint32_raw,,0
spellvisual.dbc,record_added,20017,14,uint32_raw,,0
spellvisual.dbc,record_added,20017,15,uint32_raw,,0
spellvisual.dbc,record_added,20017,16,uint32_raw,,4294967295
spellvisual.dbc,record_added,20017,17,uint32_raw,,0
spellvisual.dbc,record_added,20017,18,uint32_raw,,0
spellvisual.dbc,record_added,20017,19,uint32_raw,,0
